method,positive_1,all_labels
shap_vs_ig,0.0001 ± 0.0013,0.0001 ± 0.0011
shap_vs_deeplift,0.0001 ± 0.0012,0.0001 ± 0.0011
shap_vs_occlusion,0.0123 ± 0.0119,0.0114 ± 0.0113
shap_vs_gradcam,0.1361 ± 0.0906,0.1339 ± 0.0849
ig_vs_deeplift,0.0000 ± 0.0002,0.0000 ± 0.0002
ig_vs_occlusion,0.0122 ± 0.0118,0.0113 ± 0.0112
ig_vs_gradcam,0.1362 ± 0.0906,0.1339 ± 0.0849
deeplift_vs_occlusion,0.0123 ± 0.0121,0.0114 ± 0.0114
deeplift_vs_gradcam,0.1367 ± 0.0922,0.1344 ± 0.0863
occlusion_vs_gradcam,0.1587 ± 0.1059,0.1547 ± 0.0993
