epoch,step,train_loss,val_loss,validation_accuracy
0,20,,0.596189558506012,0.764397919178009
1,41,,0.47967857122421265,0.8167539238929749
2,49,0.6474828124046326,,
2,62,,0.9227409362792969,0.42408376932144165
3,83,,0.3777719736099243,0.8743455410003662
4,99,0.7754822373390198,,
4,104,,0.45378413796424866,0.8272251486778259
5,125,,0.39242279529571533,0.8743455410003662
6,146,,0.5090710520744324,0.7696335315704346
7,149,0.4967494010925293,,
7,167,,0.5963820219039917,0.6020942330360413
8,188,,0.49914464354515076,0.727748692035675
9,199,0.48142674565315247,,
9,209,,0.36990413069725037,0.8900523781776428
10,230,,1.0580960512161255,0.4188481569290161
11,249,0.43625420331954956,,
11,251,,0.5751394629478455,0.6439790725708008
12,272,,0.4022909104824066,0.8848167657852173
13,293,,0.49418967962265015,0.764397919178009
14,299,0.394662082195282,,
14,314,,0.4282625913619995,0.7905759215354919
15,335,,0.43170657753944397,0.7905759215354919
16,349,0.341764897108078,,
16,356,,0.3920932710170746,0.8481675386428833
17,377,,0.5088561773300171,0.7486910820007324
18,398,,0.4986118972301483,0.753926694393158
19,399,0.35098475217819214,,
19,419,,0.34113675355911255,0.8534031510353088
20,440,,0.42290931940078735,0.8062826991081238
21,449,0.2965337038040161,,
21,461,,0.3440335988998413,0.8534031510353088
22,482,,0.3257383108139038,0.8481675386428833
23,499,0.31691858172416687,,
23,503,,0.40673017501831055,0.8376963138580322
24,524,,0.5094756484031677,0.7696335315704346
25,545,,0.4006134867668152,0.8429319262504578
26,549,0.2539188861846924,,
26,566,,0.3736150562763214,0.8429319262504578
27,587,,0.39094600081443787,0.8586387634277344
28,599,0.3490043878555298,,
28,608,,0.4565345346927643,0.7801046967506409
29,629,,0.40522345900535583,0.8429319262504578
30,649,0.39182668924331665,,
30,650,,0.47867241501808167,0.7958115339279175
31,671,,0.4253074824810028,0.7696335315704346
32,692,,0.44704896211624146,0.8062826991081238
