epoch,step,train_loss,val_loss,validation_accuracy
0,20,,0.6023280620574951,0.7434554696083069
1,41,,0.6302737593650818,0.7434554696083069
2,49,0.6774250864982605,,
2,62,,0.6076415777206421,0.7486910820007324
3,83,,0.5894860625267029,0.7748690843582153
4,99,0.6632546186447144,,
4,104,,0.5650580525398254,0.7905759215354919
5,125,,0.5958089828491211,0.8534031510353088
6,146,,0.6028876304626465,0.8376963138580322
7,149,0.6192861795425415,,
7,167,,0.6217741370201111,0.6910994648933411
8,188,,0.5148929357528687,0.8167539238929749
9,199,0.6273398399353027,,
9,209,,0.5167052745819092,0.8219895362854004
10,230,,0.5596882104873657,0.7696335315704346
11,249,0.5443790555000305,,
11,251,,0.5969223976135254,0.6910994648933411
12,272,,0.6811895966529846,0.518324613571167
13,293,,0.6362816691398621,0.5916230082511902
14,299,0.3691558837890625,,
14,314,,0.5705332159996033,0.7225130796432495
15,335,,0.5569579601287842,0.727748692035675
16,349,0.3410647511482239,,
16,356,,0.5469322204589844,0.753926694393158
17,377,,0.6754377484321594,0.6178010702133179
18,398,,0.5920586585998535,0.717277467250824
