epoch,step,train_loss,val_loss,validation_accuracy
0,20,,0.5499001145362854,0.8167539238929749
1,41,,0.4745004177093506,0.8219895362854004
2,49,0.43030667304992676,,
2,62,,0.3539028763771057,0.9005235433578491
3,83,,0.3328878879547119,0.8900523781776428
4,99,0.3661603629589081,,
4,104,,0.29745784401893616,0.8743455410003662
5,125,,0.3089495003223419,0.9057591557502747
6,146,,0.3063758611679077,0.8900523781776428
7,149,0.2940210700035095,,
7,167,,0.4096601903438568,0.8219895362854004
8,188,,0.3006225526332855,0.8795811533927917
9,199,0.29453790187835693,,
9,209,,0.25732389092445374,0.9057591557502747
10,230,,0.4693280756473541,0.8219895362854004
11,249,0.20805606245994568,,
11,251,,0.3473604917526245,0.8481675386428833
12,272,,0.28917694091796875,0.9005235433578491
13,293,,0.27525320649147034,0.9005235433578491
14,299,0.1603364795446396,,
14,314,,0.35424453020095825,0.8534031510353088
15,335,,0.2881886661052704,0.9005235433578491
16,349,0.10697168111801147,,
16,356,,0.33165639638900757,0.8638743162155151
17,377,,0.30429139733314514,0.8743455410003662
18,398,,0.3051171898841858,0.8900523781776428
19,399,0.14045119285583496,,
19,419,,0.31245845556259155,0.8900523781776428
