epoch,step,train_loss,val_loss,validation_accuracy
0,20,,0.5949236154556274,0.7434554696083069
1,41,,0.5393816828727722,0.7958115339279175
2,49,0.6680787205696106,,
2,62,,0.5750947594642639,0.8062826991081238
3,83,,0.44945621490478516,0.8638743162155151
4,99,0.4641421437263489,,
4,104,,0.5136184096336365,0.8481675386428833
5,125,,0.6170589327812195,0.6230366230010986
6,146,,0.38017377257347107,0.8534031510353088
7,149,0.39597296714782715,,
7,167,,0.526769757270813,0.717277467250824
8,188,,0.471012681722641,0.8062826991081238
9,199,0.3801698088645935,,
9,209,,0.47779959440231323,0.764397919178009
10,230,,0.7754634618759155,0.5287958383560181
11,249,0.4633837938308716,,
11,251,,0.5146526098251343,0.764397919178009
12,272,,0.6847531199455261,0.717277467250824
13,293,,0.5223497152328491,0.801047146320343
14,299,0.17734310030937195,,
14,314,,0.5907883048057556,0.7225130796432495
15,335,,0.559301495552063,0.7801046967506409
16,349,0.13675016164779663,,
16,356,,0.8243106007575989,0.6492146849632263
