epoch,step,train_loss,val_loss,validation_accuracy
0,20,,0.6123237609863281,0.8272251486778259
1,41,,0.5832540988922119,0.8272251486778259
2,49,0.6079401969909668,,
2,62,,0.5247876048088074,0.7801046967506409
3,83,,0.5714595317840576,0.753926694393158
4,99,0.613824725151062,,
4,104,,0.5864274501800537,0.7486910820007324
5,125,,0.5410234332084656,0.764397919178009
6,146,,0.7205493450164795,0.46073299646377563
7,149,0.6373619437217712,,
7,167,,0.5345214009284973,0.7748690843582153
8,188,,0.6055859327316284,0.7068063020706177
9,199,0.6167837977409363,,
9,209,,0.6503010988235474,0.6387434601783752
10,230,,0.9975603222846985,0.3141361176967621
11,249,0.5927526950836182,,
11,251,,0.6084757447242737,0.6649214625358582
12,272,,0.5516207218170166,0.7801046967506409
