epoch,step,train_loss,val_loss,validation_accuracy
0,20,,0.6754192113876343,0.6963350772857666
1,41,,0.7009402513504028,0.2565445005893707
2,49,0.6762925386428833,,
2,62,,0.6417907476425171,0.7748690843582153
3,83,,0.6201626062393188,0.7958115339279175
4,99,0.7057141065597534,,
4,104,,0.6355787515640259,0.7329843044281006
5,125,,0.7180793881416321,0.41361257433891296
6,146,,0.6275792717933655,0.7382199168205261
7,149,0.6019290685653687,,
7,167,,0.653979480266571,0.6335078477859497
8,188,,0.6718181371688843,0.6282722353935242
9,199,0.5801788568496704,,
9,209,,0.6336592435836792,0.7068063020706177
10,230,,0.6147665977478027,0.7225130796432495
11,249,0.7234286069869995,,
11,251,,0.6050095558166504,0.7905759215354919
12,272,,0.7696568965911865,0.4397905766963959
13,293,,0.7043731212615967,0.46073299646377563
14,299,0.5106155872344971,,
14,314,,0.714213490486145,0.4712041914463043
15,335,,0.7593808770179749,0.3821989595890045
16,349,0.6919162273406982,,
16,356,,0.6364153027534485,0.7434554696083069
17,377,,0.6009243726730347,0.764397919178009
18,398,,0.5770516395568848,0.7329843044281006
19,399,0.5297741293907166,,
19,419,,0.6911646723747253,0.6230366230010986
20,440,,0.6347322463989258,0.6963350772857666
21,449,0.619153618812561,,
21,461,,0.8131457567214966,0.3560209572315216
22,482,,1.0410047769546509,0.33507853746414185
23,499,0.5427730083465576,,
23,503,,0.634624719619751,0.6492146849632263
24,524,,1.0889657735824585,0.27225130796432495
25,545,,0.6499646306037903,0.6178010702133179
26,549,0.6916893720626831,,
26,566,,0.7220956087112427,0.5340313911437988
27,587,,0.7756847143173218,0.45026177167892456
28,599,0.5993118286132812,,
28,608,,0.6950933933258057,0.5445026159286499
