epoch,step,train_loss,val_loss,validation_accuracy
0,20,,0.5199947953224182,0.7434554696083069
1,41,,0.3430386781692505,0.8429319262504578
2,49,0.28973981738090515,,
2,62,,0.3393142521381378,0.8586387634277344
3,83,,0.2619260549545288,0.8952879309654236
4,99,0.3462916612625122,,
4,104,,0.271532267332077,0.8848167657852173
5,125,,0.27147695422172546,0.8900523781776428
6,146,,0.2565757632255554,0.9057591557502747
7,149,0.21276895701885223,,
7,167,,0.2485089898109436,0.9057591557502747
8,188,,0.24574944376945496,0.9005235433578491
9,199,0.24896767735481262,,
9,209,,0.2646562159061432,0.8848167657852173
10,230,,0.22969447076320648,0.8952879309654236
11,249,0.24573656916618347,,
11,251,,0.24382781982421875,0.8952879309654236
12,272,,0.24004516005516052,0.9057591557502747
13,293,,0.3500484824180603,0.8743455410003662
14,299,0.09639370441436768,,
14,314,,0.29470139741897583,0.8848167657852173
15,335,,0.3150918483734131,0.8743455410003662
16,349,0.14489074051380157,,
16,356,,0.25351113080978394,0.9162303805351257
17,377,,0.2769499719142914,0.8952879309654236
18,398,,0.356736421585083,0.8952879309654236
19,399,0.10350406169891357,,
19,419,,0.37052425742149353,0.8848167657852173
20,440,,0.30978015065193176,0.8795811533927917
