method,positive_1,all_labels
shap_vs_ig,0.0001 ± 0.0004,0.0001 ± 0.0005
shap_vs_deeplift,0.0001 ± 0.0004,0.0002 ± 0.0005
shap_vs_occlusion,0.0223 ± 0.0149,0.0252 ± 0.0201
shap_vs_gradcam,0.1564 ± 0.0819,0.1624 ± 0.0812
ig_vs_deeplift,0.0001 ± 0.0001,0.0001 ± 0.0002
ig_vs_occlusion,0.0223 ± 0.0149,0.0252 ± 0.0201
ig_vs_gradcam,0.1564 ± 0.0819,0.1624 ± 0.0812
deeplift_vs_occlusion,0.0224 ± 0.0149,0.0254 ± 0.0201
deeplift_vs_gradcam,0.1566 ± 0.0817,0.1624 ± 0.0811
occlusion_vs_gradcam,0.1703 ± 0.0906,0.1795 ± 0.0895
