epoch,step,train_loss,val_loss,validation_accuracy
0,49,0.6922174692153931,,
0,79,,0.6639497876167297,0.6317241191864014
1,99,0.6994158029556274,,
1,149,0.6989136934280396,,
1,159,,0.6786835789680481,0.543448269367218
2,199,0.6764620542526245,,
2,239,,0.6692458391189575,0.5972414016723633
3,249,0.6894646883010864,,
3,299,0.6604955196380615,,
3,319,,0.6310071349143982,0.6744827628135681
4,349,0.6486594676971436,,
4,399,0.6214216947555542,,
4,399,,0.6317541599273682,0.6331034302711487
5,449,0.5981994867324829,,
5,479,,0.6762929558753967,0.5627586245536804
6,499,0.570576012134552,,
6,549,0.604716420173645,,
6,559,,0.6803966164588928,0.5986207127571106
7,599,0.5191905498504639,,
7,639,,0.6896656155586243,0.5848276019096375
8,649,0.496038556098938,,
8,699,0.5410141348838806,,
8,719,,0.7158189415931702,0.6137930750846863
9,749,0.2822291851043701,,
9,799,0.3368633985519409,,
9,799,,0.9048584699630737,0.5144827365875244
10,849,0.39010903239250183,,
10,879,,0.8623155355453491,0.6068965792655945
11,899,0.2148936688899994,,
11,949,0.3684599995613098,,
11,959,,0.8378530740737915,0.5586206912994385
12,999,0.22170878946781158,,
12,1039,,1.0644867420196533,0.4937931001186371
13,1049,0.27595818042755127,,
13,1099,0.1481734961271286,,
13,1119,,0.9139377474784851,0.569655179977417
