epoch,step,train_loss,val_loss,validation_accuracy
0,49,0.7048481702804565,,
0,79,,0.6853283047676086,0.5586206912994385
1,99,0.6930500864982605,,
1,149,0.6817465424537659,,
1,159,,0.6851914525032043,0.5503448247909546
2,199,0.6868764162063599,,
2,239,,0.6956299543380737,0.4786206781864166
3,249,0.691490888595581,,
3,299,0.6874139308929443,,
3,319,,0.6726325750350952,0.5517241358757019
4,349,0.6745225191116333,,
4,399,0.6854658126831055,,
4,399,,0.6989256739616394,0.4937931001186371
5,449,0.7143876552581787,,
5,479,,0.6996018886566162,0.49241378903388977
6,499,0.6831120848655701,,
6,549,0.6715539693832397,,
6,559,,0.6925058364868164,0.521379292011261
7,599,0.6422107219696045,,
7,639,,0.7009588479995728,0.49103447794914246
8,649,0.6526165008544922,,
8,699,0.6994391679763794,,
8,719,,0.7229506373405457,0.4510344862937927
9,749,0.7242678999900818,,
9,799,0.702384889125824,,
9,799,,0.7004595994949341,0.4841379225254059
10,849,0.6593490839004517,,
10,879,,0.7067562341690063,0.4855172336101532
11,899,0.7096145153045654,,
11,949,0.6565403938293457,,
11,959,,0.702825665473938,0.5103448033332825
12,999,0.6295687556266785,,
12,1039,,0.727950930595398,0.44275861978530884
13,1049,0.6146216988563538,,
13,1099,0.5778074264526367,,
13,1119,,0.7235777378082275,0.5020689368247986
