method,positive_1,all_labels
shap_vs_ig,0.0000 ± 0.0003,0.0001 ± 0.0004
shap_vs_deeplift,0.0004 ± 0.0009,0.0005 ± 0.0010
shap_vs_occlusion,0.0249 ± 0.0232,0.0265 ± 0.0227
shap_vs_gradcam,0.1188 ± 0.0651,0.1262 ± 0.0738
ig_vs_deeplift,0.0003 ± 0.0007,0.0004 ± 0.0008
ig_vs_occlusion,0.0248 ± 0.0227,0.0265 ± 0.0224
ig_vs_gradcam,0.1188 ± 0.0652,0.1263 ± 0.0739
deeplift_vs_occlusion,0.0246 ± 0.0214,0.0265 ± 0.0219
deeplift_vs_gradcam,0.1187 ± 0.0640,0.1266 ± 0.0736
occlusion_vs_gradcam,0.1331 ± 0.0707,0.1423 ± 0.0778
