epoch,step,train_loss,val_loss,validation_accuracy
0,49,0.696948766708374,,
0,79,,0.6495318412780762,0.6331034302711487
1,99,0.6931226253509521,,
1,149,0.662743330001831,,
1,159,,0.6603238582611084,0.6317241191864014
2,199,0.6590551137924194,,
2,239,,0.6230919361114502,0.7117241621017456
3,249,0.6321377754211426,,
3,299,0.6411545276641846,,
3,319,,0.6039189100265503,0.7020689845085144
4,349,0.6761671304702759,,
4,399,0.7004669308662415,,
4,399,,0.6022486686706543,0.7117241621017456
5,449,0.6401426792144775,,
5,479,,0.6235591173171997,0.6551724076271057
6,499,0.6194546222686768,,
6,549,0.5464167594909668,,
6,559,,0.6036797761917114,0.6772413849830627
7,599,0.5418186187744141,,
7,639,,0.6132466197013855,0.6675862073898315
8,649,0.3719191551208496,,
8,699,0.49779683351516724,,
8,719,,0.6371461153030396,0.6689655184745789
9,749,0.34815075993537903,,
9,799,0.29506397247314453,,
9,799,,0.7559444308280945,0.6013793349266052
10,849,0.3148103952407837,,
10,879,,0.7213340401649475,0.6482758522033691
11,899,0.2270013689994812,,
11,949,0.1964927464723587,,
11,959,,0.8433703780174255,0.5972414016723633
12,999,0.1873156726360321,,
12,1039,,0.919086217880249,0.5820689797401428
13,1049,0.1860460489988327,,
13,1099,0.13790276646614075,,
13,1119,,0.9381593465805054,0.591724157333374
14,1149,0.09398441016674042,,
14,1199,0.14776219427585602,,
14,1199,,0.9647756218910217,0.5931034684181213
