epoch,step,train_loss,val_loss,validation_accuracy
0,49,0.6415649652481079,,
0,79,,0.6080532073974609,0.682758629322052
1,99,0.6128515005111694,,
1,149,0.5701992511749268,,
1,159,,0.5761361122131348,0.7158620953559875
2,199,0.5458295345306396,,
2,239,,0.5428310036659241,0.7310344576835632
3,249,0.5979877710342407,,
3,299,0.558647871017456,,
3,319,,0.5555773377418518,0.7200000286102295
4,349,0.4809907376766205,,
4,399,0.47794538736343384,,
4,399,,0.5158475041389465,0.7420689463615417
5,449,0.419353723526001,,
5,479,,0.48837482929229736,0.7820689678192139
6,499,0.4872744381427765,,
6,549,0.512453556060791,,
6,559,,0.4876222312450409,0.7944827675819397
7,599,0.44462621212005615,,
7,639,,0.485551118850708,0.7806896567344666
8,649,0.43955549597740173,,
8,699,0.33553317189216614,,
8,719,,0.5414340496063232,0.7434482574462891
9,749,0.30784186720848083,,
9,799,0.3082611560821533,,
9,799,,0.49359333515167236,0.7531034350395203
10,849,0.30172908306121826,,
10,879,,0.4915938675403595,0.7641379237174988
11,899,0.2606825828552246,,
11,949,0.23154254257678986,,
11,959,,0.4984720051288605,0.7655172348022461
12,999,0.2461433857679367,,
12,1039,,0.5127598643302917,0.7599999904632568
13,1049,0.2582041025161743,,
13,1099,0.19748073816299438,,
13,1119,,0.49059486389160156,0.7751724123954773
14,1149,0.10310152173042297,,
14,1199,0.2626263201236725,,
14,1199,,0.513699471950531,0.7668965458869934
15,1249,0.11078807711601257,,
15,1279,,0.5270938277244568,0.7710344791412354
16,1299,0.08909076452255249,,
16,1349,0.06422250717878342,,
16,1359,,0.5410832762718201,0.7668965458869934
17,1399,0.051027826964855194,,
17,1439,,0.5483021140098572,0.7793103456497192
