method,positive_1,all_labels
shap_vs_ig,0.0001 ± 0.0007,0.0001 ± 0.0007
shap_vs_deeplift,0.0002 ± 0.0007,0.0002 ± 0.0007
shap_vs_occlusion,0.0297 ± 0.0172,0.0317 ± 0.0191
shap_vs_gradcam,0.1862 ± 0.0942,0.1887 ± 0.0961
ig_vs_deeplift,0.0001 ± 0.0002,0.0001 ± 0.0003
ig_vs_occlusion,0.0297 ± 0.0171,0.0317 ± 0.0191
ig_vs_gradcam,0.1862 ± 0.0942,0.1886 ± 0.0960
deeplift_vs_occlusion,0.0298 ± 0.0172,0.0318 ± 0.0193
deeplift_vs_gradcam,0.1865 ± 0.0943,0.1889 ± 0.0962
occlusion_vs_gradcam,0.1999 ± 0.1014,0.2030 ± 0.0996
