epoch,step,train_loss,val_loss,validation_accuracy
0,49,0.6677431464195251,,
0,79,,0.5467403531074524,0.7310344576835632
1,99,0.5916697382926941,,
1,149,0.43956029415130615,,
1,159,,0.5088695287704468,0.7765517234802246
2,199,0.5111218690872192,,
2,239,,0.490841269493103,0.7724137902259827
3,249,0.5289936065673828,,
3,299,0.5009171962738037,,
3,319,,0.46109142899513245,0.7931034564971924
4,349,0.4913516640663147,,
4,399,0.6074621081352234,,
4,399,,0.46687066555023193,0.7793103456497192
5,449,0.510123610496521,,
5,479,,0.47523239254951477,0.7848275899887085
6,499,0.3382524251937866,,
6,549,0.38725489377975464,,
6,559,,0.4454796612262726,0.8027586340904236
7,599,0.6465747356414795,,
7,639,,0.4443020522594452,0.795862078666687
8,649,0.45434480905532837,,
8,699,0.4202156662940979,,
8,719,,0.43449366092681885,0.8124138116836548
9,749,0.46463263034820557,,
9,799,0.325396865606308,,
9,799,,0.46237409114837646,0.7793103456497192
10,849,0.3725997805595398,,
10,879,,0.4319584369659424,0.8137931227684021
11,899,0.41322219371795654,,
11,949,0.35476791858673096,,
11,959,,0.4748561382293701,0.7710344791412354
12,999,0.37039363384246826,,
12,1039,,0.43701082468032837,0.8096551895141602
13,1049,0.3370496928691864,,
13,1099,0.38048139214515686,,
13,1119,,0.43028193712234497,0.8151724338531494
14,1149,0.3251960277557373,,
14,1199,0.26556825637817383,,
14,1199,,0.44617027044296265,0.7972413897514343
15,1249,0.30017754435539246,,
15,1279,,0.46508103609085083,0.7986207008361816
16,1299,0.253873348236084,,
16,1349,0.4557614326477051,,
16,1359,,0.434174120426178,0.8041379451751709
17,1399,0.40122348070144653,,
17,1439,,0.42265620827674866,0.8096551895141602
18,1449,0.5212344527244568,,
18,1499,0.28983238339424133,,
18,1519,,0.4352653920650482,0.800000011920929
19,1549,0.2407204806804657,,
19,1599,0.5331850051879883,,
19,1599,,0.44389206171035767,0.7931034564971924
20,1649,0.3030717968940735,,
20,1679,,0.43891286849975586,0.8137931227684021
21,1699,0.1375504732131958,,
21,1749,0.2857145071029663,,
21,1759,,0.41737717390060425,0.817931056022644
22,1799,0.3564548194408417,,
22,1839,,0.47440963983535767,0.7986207008361816
23,1849,0.23450784385204315,,
23,1899,0.2494076043367386,,
23,1919,,0.4708107113838196,0.7986207008361816
24,1949,0.2611657381057739,,
24,1999,0.16236303746700287,,
24,1999,,0.46036675572395325,0.7848275899887085
25,2049,0.24260921776294708,,
25,2079,,0.45458343625068665,0.8110345005989075
26,2099,0.2974732518196106,,
26,2149,0.1998583823442459,,
26,2159,,0.472339004278183,0.7848275899887085
27,2199,0.3642502725124359,,
27,2239,,0.47220906615257263,0.8027586340904236
28,2249,0.25157827138900757,,
28,2299,0.25368064641952515,,
28,2319,,0.4733390510082245,0.8068965673446655
29,2349,0.23028063774108887,,
29,2399,0.03743257001042366,,
29,2399,,0.47703731060028076,0.7944827675819397
30,2449,0.14203812181949615,,
30,2479,,0.47485679388046265,0.7931034564971924
31,2499,0.29815590381622314,,
31,2549,0.22077320516109467,,
31,2559,,0.4812361001968384,0.8013793230056763
