epoch,step,train_loss,val_loss,validation_accuracy
0,49,0.6709976196289062,,
0,79,,0.6581258177757263,0.6551724076271057
1,99,0.644150972366333,,
1,149,0.679462194442749,,
1,159,,0.6353273391723633,0.6551724076271057
2,199,0.6763828992843628,,
2,239,,0.628017008304596,0.682758629322052
3,249,0.649393618106842,,
3,299,0.6662083864212036,,
3,319,,0.6139767169952393,0.6993103623390198
4,349,0.6324672698974609,,
4,399,0.7789681553840637,,
4,399,,0.5921626091003418,0.7062069177627563
5,449,0.6873142719268799,,
5,479,,0.5926735997200012,0.7103448510169983
6,499,0.6100153923034668,,
6,549,0.6830048561096191,,
6,559,,0.574500560760498,0.7200000286102295
7,599,0.6172757148742676,,
7,639,,0.5684878826141357,0.7337930798530579
8,649,0.6089293956756592,,
8,699,0.6188372373580933,,
8,719,,0.5684823989868164,0.7310344576835632
9,749,0.5834430456161499,,
9,799,0.4954448342323303,,
9,799,,0.5716009140014648,0.7227585911750793
10,849,0.6251661777496338,,
10,879,,0.575413167476654,0.725517213344574
11,899,0.5352669954299927,,
11,949,0.6344529390335083,,
11,959,,0.5448493361473083,0.7599999904632568
12,999,0.5194627046585083,,
12,1039,,0.5493040084838867,0.7531034350395203
13,1049,0.5718423128128052,,
13,1099,0.5266552567481995,,
13,1119,,0.5556939244270325,0.7296551465988159
14,1149,0.5531505346298218,,
14,1199,0.6035184860229492,,
14,1199,,0.5373495817184448,0.7586206793785095
15,1249,0.5833253860473633,,
15,1279,,0.5922561287879944,0.6689655184745789
16,1299,0.4236958622932434,,
16,1349,0.41825103759765625,,
16,1359,,0.5462633967399597,0.7268965244293213
17,1399,0.47804003953933716,,
17,1439,,0.5287667512893677,0.7613793015480042
18,1449,0.3564978837966919,,
18,1499,0.4371907711029053,,
18,1519,,0.5514561533927917,0.7213793396949768
19,1549,0.4078642427921295,,
19,1599,0.37514176964759827,,
19,1599,,0.5359013676643372,0.7324137687683105
20,1649,0.30789268016815186,,
20,1679,,0.5230148434638977,0.7393103241920471
21,1699,0.3463735580444336,,
21,1749,0.35543590784072876,,
21,1759,,0.5459003448486328,0.7227585911750793
22,1799,0.3331369459629059,,
22,1839,,0.5331074595451355,0.7406896352767944
23,1849,0.3139420747756958,,
23,1899,0.30727165937423706,,
23,1919,,0.5515392422676086,0.7186207175254822
24,1949,0.2252867966890335,,
24,1999,0.22308453917503357,,
24,1999,,0.5747490525245667,0.7200000286102295
25,2049,0.2897818982601166,,
25,2079,,0.6025678515434265,0.6979310512542725
26,2099,0.2416573166847229,,
26,2149,0.20531857013702393,,
26,2159,,0.5934863090515137,0.708965539932251
27,2199,0.2209586799144745,,
27,2239,,0.5869390368461609,0.7172414064407349
28,2249,0.13666187226772308,,
28,2299,0.18767210841178894,,
28,2319,,0.5840945243835449,0.7172414064407349
29,2349,0.2326030433177948,,
29,2399,0.18808822333812714,,
29,2399,,0.6226388812065125,0.704827606678009
30,2449,0.19141247868537903,,
30,2479,,0.6352031230926514,0.7117241621017456
